"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1971",61.341,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1972",60.831,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1973",60.794,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1974",61.134,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",73.029,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1976",66.306,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1977",60.769,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1978",62.066,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1979",61.621,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",62.917,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1981",61.27,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1982",58.941,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1983",62.886,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1984",71.479,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",71.543,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1986",70.289,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1987",70.07,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1988",68.188,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1989",67.405,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",66.189,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",66.024,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",65.845,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",65.663,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",65.53,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",66.365,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",65.818,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",67.32,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",67.778,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",69.698,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",68.379,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",67.756,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",68.626,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",68.05,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",68.345,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",68.402,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",68.307,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",69.308,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",68.998,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",69.296,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",68.636,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",69.214,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",67.536,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",64.807,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",64.522,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",65.541,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",66.064,
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",66.478,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",66.7,"E"
"AUS","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",67.378,"E"
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1970",60.841,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1971",61.25,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1972",61.053,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1973",61.138,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1974",63.315,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",67.838,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1976",68.043,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1977",68.377,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1978",68.022,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1979",66.582,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",67.217,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1981",74.109,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1982",73.791,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1983",74.398,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1984",73.894,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",74.599,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1986",74.656,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1987",74.613,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1988",74.154,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1989",72.092,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",74.378,"B"
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",74.422,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",74.883,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",75.191,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",75.953,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",75.257,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",74.98,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",75.482,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",75.432,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",75.647,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",75.537,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",75.009,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",74.797,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",74.498,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",73.38,"B"
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",73.975,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",74.4,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",74.365,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",74.959,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",75.1,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",74.647,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",74.614,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",74.678,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",74.006,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",74.011,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",74.058,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",73.961,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",73.978,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",74.702,
"AUT","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",75.24,"P"
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",74.156,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",73.439,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",72.77,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",76.798,"B"
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",78.177,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",75.378,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",74.804,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",74.578,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",74.605,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",75.407,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",73.797,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",73.823,"B"
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",74.733,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",74.537,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",74.364,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",73.977,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",75.541,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",76.102,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",76.078,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",76.029,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",76.473,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",76.009,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",75.849,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",75.773,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",76.099,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",75.955,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",75.812,
"BEL","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",75.99,"E"
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1970",70.334,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1971",73.487,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1972",74.162,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1973",74.301,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1974",75.615,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",76.506,"B"
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1976",77.403,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1977",77.007,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1978",76.615,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1979",75.962,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",76.118,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1981",76.373,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1982",76.8,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1983",76.758,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1984",76.12,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",75.577,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1986",75.066,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1987",74.989,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1988",74.682,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1989",74.518,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",74.269,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",74.306,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",73.834,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",72.405,
