economy,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,112720000.0,127140000.0,131945000.0,127170000.0,136430000.0,154950000.0,175435000.0,220304999.0,215915000.0,255345000.0,224545000.0,201350001.0,250969999.0,248935000.0,235455000.0,321360614.52514,374002932.960894,336945700.0,339224000.0,324813400.0,401389600.0,455457100.0,691873900.0,686970110.0,708713690.0,689775980.0,768622300.0,653170670.0,680351000.0,815800560.0,922550890.0,907111452.513966,980247680.0,982300000.0,
ABW,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.50202920407,7885.79654466735,9764.78997879329,11392.4558105764,12307.3117378314,13496.0031426418,14046.5037643078,14936.8272187795,16241.0465209443,16439.3563609282,16586.0684357542,17927.7496352086,19078.3431907515,19356.2033894901,20620.7006259175,20669.0319688645,20436.8871286309,20833.7616116694,22569.9749851801,23300.0395575696,24045.2724833547,25835.1326676284,27084.7036903653,24630.4537141023,23512.6025956397,24985.9932813737,24713.6980451285,26189.4355088129,26647.938100985,27980.8806952751,28281.35048163,29007.6930034887,,,
ABW,NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23309.0205195563,25020.5071656845,25661.3190060198,26529.2339559483,27714.7166064816,27707.4342303419,27562.4596678167,29222.894893298,29509.8765861512,29718.169823562,32031.5554270993,31062.3492934753,29847.9283529006,30355.732380247,33053.2465349766,34050.4715781236,35167.1663623142,36621.0351286655,37249.4504595791,33552.8898221987,32624.2090942429,34326.1448226739,33569.1865005073,36477.7793887055,36444.2620573183,36765.1160710175,37359.3734383699,38442.4138382323,,,
ABW,NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10360.0,11760.0,12230.0,13190.0,14000.0,14610.0,15640.0,16230.0,16370.0,17220.0,17620.0,17880.0,20000.0,19170.0,17890.0,20070.0,22630.0,19200.0,23340.0,21680.0,25510.0,23770.0,22370.0,22450.0,23520.0,24420.0,25190.0,26250.0,26560.0,26810.0,,,
ABW,NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23070.0,24800.0,25400.0,26090.0,27270.0,27390.0,27210.0,28780.0,29410.0,28980.0,31620.0,30140.0,27760.0,29550.0,31950.0,27060.0,33630.0,31230.0,35670.0,32360.0,30710.0,31000.0,32030.0,34260.0,35090.0,35190.0,35660.0,36300.0,,,
ABW,SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,SP.DYN.LE00.IN,65.662,66.074,66.444,66.787,67.113,67.435,67.762,68.095,68.436,68.784,69.14,69.498,69.851,70.191,70.519,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.573,73.598,73.622,73.646,73.671,73.7,73.738,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293,
