beta1,beta2,covariance,p,me_cov,exp_of_var
0.1,1.0,0.5,5,0.0,yes
0.1,1.0,0.5,5,0.0,no
0.1,1.0,0.5,5,0.5,yes
0.1,1.0,0.5,5,0.5,no
1.0,0.1,0.5,5,0.0,yes
1.0,0.1,0.5,5,0.0,no
1.0,0.1,0.5,5,0.5,yes
1.0,0.1,0.5,5,0.5,no
1.0,1.0,-0.9,5,0.0,yes
1.0,1.0,-0.9,5,0.0,no
1.0,1.0,-0.9,5,0.5,yes
1.0,1.0,-0.9,5,0.5,no
1.0,1.0,-0.5,5,0.0,yes
1.0,1.0,-0.5,5,0.0,no
1.0,1.0,-0.5,5,0.5,yes
1.0,1.0,-0.5,5,0.5,no
1.0,1.0,0.0,5,0.0,yes
1.0,1.0,0.0,5,0.0,no
1.0,1.0,0.0,5,0.5,yes
1.0,1.0,0.0,5,0.5,no
1.0,1.0,0.5,5,0.0,yes
1.0,1.0,0.5,5,0.0,no
1.0,1.0,0.5,5,0.5,yes
1.0,1.0,0.5,5,0.5,no
1.0,1.0,0.5,20,0.0,yes
1.0,1.0,0.5,20,0.0,no
1.0,1.0,0.5,20,0.5,yes
1.0,1.0,0.5,20,0.5,no
1.0,1.0,0.5,50,0.0,yes
1.0,1.0,0.5,50,0.0,no
1.0,1.0,0.5,50,0.5,yes
1.0,1.0,0.5,50,0.5,no
1.0,1.0,0.5,100,0.0,yes
1.0,1.0,0.5,100,0.0,no
1.0,1.0,0.5,100,0.5,yes
1.0,1.0,0.5,100,0.5,no
1.0,1.0,0.5,500,0.0,yes
1.0,1.0,0.5,500,0.0,no
1.0,1.0,0.5,500,0.5,yes
1.0,1.0,0.5,500,0.5,no
1.0,1.0,0.9,5,0.0,yes
1.0,1.0,0.9,5,0.0,no
1.0,1.0,0.9,5,0.5,yes
1.0,1.0,0.9,5,0.5,no
1.0,10.0,0.5,5,0.0,yes
1.0,10.0,0.5,5,0.0,no
1.0,10.0,0.5,5,0.5,yes
1.0,10.0,0.5,5,0.5,no
10.0,1.0,0.5,5,0.0,yes
10.0,1.0,0.5,5,0.0,no
10.0,1.0,0.5,5,0.5,yes
10.0,1.0,0.5,5,0.5,no
