,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,pca_coef,true_val_coef,iv_coef,N,covariance,beta1,beta2,p,me_cov,exp_of_var
0,1.0463829353665628,1.0334468528969576,1.032776738367598,1.0328443676744885,1.025840649166081,1.0095142503989463,3000,0.5,1.0,0.1,5,0.0,no
0,1.0366124419395988,1.0222416877078924,1.0218736569717106,1.0218555711066513,1.0185785146671091,1.0138534517072162,3000,0.5,1.0,0.1,5,0.0,no
0,1.018841017412931,1.0091321818332655,1.0096715970218684,1.0096691000150848,1.0026740514772463,1.001372296503778,3000,0.5,1.0,0.1,5,0.0,no
0,1.0469060952402347,1.029046244872477,1.029019334532002,1.028955967173108,1.0220609894688413,1.0169872316095485,3000,0.5,1.0,0.1,5,0.0,no
0,1.003943168145907,0.98692035796484,0.9878131552165379,0.9877690610105868,0.9855212749027686,0.9856707248402489,3000,0.5,1.0,0.1,5,0.0,no
0,1.0168373300652958,1.0035290885899992,1.0025940641008915,1.0026388560885233,0.9966902458782785,0.9981334418913212,3000,0.5,1.0,0.1,5,0.0,no
0,1.0312357296772903,1.0109855445974778,1.0108673873293013,1.0109128549137865,0.9980244022272938,0.9973200841622353,3000,0.5,1.0,0.1,5,0.0,no
0,1.0401381767542994,1.0279012727925938,1.0275303670886693,1.0275264262735337,1.0141207754203934,1.0111439938184819,3000,0.5,1.0,0.1,5,0.0,no
0,1.0247654942539575,1.0094472020151894,1.0090185956646636,1.0090364538841454,0.9978159817505292,0.990847714620608,3000,0.5,1.0,0.1,5,0.0,no
0,1.0391557917031717,1.0298581404298228,1.029521953109239,1.0294910396594132,1.0240378265232373,1.0149989167791054,3000,0.5,1.0,0.1,5,0.0,no
0,0.9897723372621268,0.9546761312664476,0.955101439185662,0.9551120362367024,0.9502021556665502,0.9365811986466569,3000,0.5,1.0,0.1,5,0.0,no
0,1.0592882051476176,1.037898410782983,1.0367965993988595,1.036881206584409,1.0308404882196323,1.0171132117369788,3000,0.5,1.0,0.1,5,0.0,no
0,1.0478053336795945,1.0232083308955948,1.022359856433611,1.022383236648074,1.004471580074231,1.0021955924502368,3000,0.5,1.0,0.1,5,0.0,no
0,1.0282705659750528,0.9961169251723063,0.9957221517411916,0.9956506077252298,0.9879111464930547,0.9795752382775123,3000,0.5,1.0,0.1,5,0.0,no
0,1.0413292515680217,1.0247672444107376,1.0252030813055586,1.0251853970124172,1.0162770702847297,1.0214407739405922,3000,0.5,1.0,0.1,5,0.0,no
0,1.044110118612005,1.018293733211544,1.0184961840279754,1.0184723356067844,1.0040780568294025,0.9674188117195757,3000,0.5,1.0,0.1,5,0.0,no
0,1.018159851722372,0.99341959747351,0.9930072954301963,0.9929799920339629,0.9844635063488589,0.9605133525861208,3000,0.5,1.0,0.1,5,0.0,no
0,1.0411751012392294,1.0264354922335075,1.0266071232226168,1.0266462571936348,1.0064555916042124,1.0173223647228262,3000,0.5,1.0,0.1,5,0.0,no
0,1.027322576264555,1.0101069729693744,1.0109807180475356,1.0109768199527576,1.0013067138921918,1.0023507007673333,3000,0.5,1.0,0.1,5,0.0,no
0,1.0460884802024553,1.0285395104104362,1.0294957584994537,1.0294820584811109,1.0174548128211822,1.0195387102419273,3000,0.5,1.0,0.1,5,0.0,no
0,1.0094446341647008,0.987422032466966,0.9876933970160282,0.9876747528246229,0.9810316682636836,0.9911452682878201,3000,0.5,1.0,0.1,5,0.0,no
0,1.013513111899408,1.006989266533882,1.0058287164707964,1.0058964089916964,1.0010334709031121,1.0047606396329383,3000,0.5,1.0,0.1,5,0.0,no
