,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,pca_coef,true_val_coef,iv_coef,covariance,beta1,beta2,p,exp_of_var
0,0.3990429465640855,0.28612594541011377,0.4750645311029043,0.3298011876298678,0.0819327248186886,0.3431438128889245,0.5,0.1,1.0,5,yes
0,0.37556642115378935,0.27735957306700176,0.4567962148748861,0.3012344505046528,0.08641153227571803,0.32857735701186097,0.5,0.1,1.0,5,yes
0,0.36663131314876907,0.19376327498879614,0.19478441977478678,0.19483266989414696,0.08664881745791952,0.21875639476562692,0.5,0.1,1.0,5,no
0,0.3942290367670581,0.1883007987295393,0.18637647210627867,0.18759412330512987,0.08769661443208941,0.20070800862932892,0.5,0.1,1.0,5,no
0,1.0226954172803187,1.0180345112256264,1.0363669579165398,1.0177100821506837,0.984758190027245,1.0203028805650733,0.5,1.0,0.1,5,yes
0,1.0457605656579645,1.0293181258146333,1.0406030654044993,1.0304592847319938,1.009980508214817,1.0278896272709825,0.5,1.0,0.1,5,yes
0,1.0532542298634766,1.0348422995198507,1.0332748790635695,1.0341099861182648,1.0271723674159734,1.0376070205676882,0.5,1.0,0.1,5,no
0,1.026025738953501,1.0209967622663545,1.0203205617824895,1.0205417910598023,1.0128508392635729,1.0215912181994051,0.5,1.0,0.1,5,no
0,0.2505488473252356,0.3938182863226468,0.17924207409577353,0.34655640900999124,0.9586313382646977,0.3180836024480379,-0.9,1.0,1.0,5,yes
0,0.23135739667931635,0.36955008915607745,0.1294239001867027,0.28791085499709396,1.0146803628036156,0.2812108157327564,-0.9,1.0,1.0,5,yes
0,0.23461977702457426,0.5319495461888071,0.5312459740899476,0.5309794651036155,1.0219049186357596,0.4993562735171817,-0.9,1.0,1.0,5,no
0,0.2113714940734543,0.47259775019277583,0.4747066747064682,0.47444084331224395,0.9541188534923415,0.41322395764570247,-0.9,1.0,1.0,5,no
0,0.6957513021424405,0.798751338011012,0.6392767080106714,0.7910120716974148,0.9664020114871555,0.7652986926433957,-0.5,1.0,1.0,5,yes
0,0.6808259883034119,0.7758361220889973,0.6085543775912203,0.7564874869234006,0.9721304561833326,0.7257137447973778,-0.5,1.0,1.0,5,yes
0,0.6894990456647246,0.8864732327257021,0.8871615524100257,0.887045285681071,1.003288043527631,0.8657127143463093,-0.5,1.0,1.0,5,no
0,0.7201974824315098,0.8914376975777888,0.8926552304856344,0.892752925304432,0.9855215986804867,0.8712608350965448,-0.5,1.0,1.0,5,no
0,1.0308520144823599,1.0187823840303327,1.0202696547257903,1.0108375033867634,1.0061226946649724,1.0040035037004407,0.0,1.0,1.0,5,yes
0,0.9893664229817325,0.9952875394551376,0.9753387429390531,0.9825141790314422,0.9959478079691328,0.9873634872980481,0.0,1.0,1.0,5,yes
0,1.0266504344225338,1.019556063080226,1.0200740549172156,1.020250533622305,1.0189506620419317,1.0231727060837026,0.0,1.0,1.0,5,no
0,1.0265176972994936,1.015296557174005,1.0135704695483387,1.0136116485034004,1.0129642548092543,1.0059448109726756,0.0,1.0,1.0,5,no
0,1.3179701416845697,1.2095972252580103,1.402057712948616,1.2323880511843224,1.0397497258917032,1.2578917775982426,0.5,1.0,1.0,5,yes
0,1.291666853930879,1.189372962761114,1.3660908689096916,1.2061194539250566,1.005385624336304,1.244660455210557,0.5,1.0,1.0,5,yes
0,1.2695763215199796,1.0915822461579698,1.0905156086473564,1.0904420707023852,1.000379384886384,1.1064424778113506,0.5,1.0,1.0,5,no
0,1.2979868671286343,1.0992794286584666,1.0987308521289634,1.1012121142014624,0.9776213923031737,1.1200065700494064,0.5,1.0,1.0,5,no
0,1.276232651108031,1.0529472383603014,1.3006041851897154,1.071573172786011,0.9895631024845771,1.0600144229092896,0.5,1.0,1.0,20,yes
0,1.311554541757596,1.0314809419858486,1.3223046749683756,1.073055912749244,0.9558986582011627,1.042244387879135,0.5,1.0,1.0,20,yes
0,1.2917467368701017,1.0367383615983612,1.0323867707291219,1.0339465763525715,0.9955815522764951,1.0357531944847151,0.5,1.0,1.0,20,no
0,1.322850521723603,1.0709485616038863,1.0707975116448196,1.0706424716562466,1.0360420751421024,1.0798913209053491,0.5,1.0,1.0,20,no
0,1.3249817064996114,1.072952004642656,1.3351379415483096,1.1066152085429468,1.0445484697968117,1.0893578771663175,0.5,1.0,1.0,50,yes
0,1.2762504197132427,1.002048559411961,1.267224628649459,1.0349902730278775,0.9801351088371335,1.024105779895081,0.5,1.0,1.0,50,yes
